index,time,dig_tfeed,dig_PSSO,SSO_mass_kg,AE_raw_MJ,AH_raw_MJ,ng_energy_MJ,steel_raw_const
2888,2018-11-27,210.0,27.39,109286.1,123232.0908016878,351163.88853164564,1.3523253109338249e6,0.0011293
2891,2018-11-30,215.0,30.08,120019.20000000001,118595.28337552743,334796.20129113924,1.4582614186824197e6,0.0011293
2895,2018-12-04,224.0,30.09,120059.1,116805.5135864979,349128.97574683547,1.4003388010181328e6,0.0011293
2897,2018-12-06,208.0,30.08,120019.20000000001,85723.74548523208,322209.05184810126,1.5406892862370543e6,0.0011293
2901,2018-12-10,207.0,23.11,92208.90000000001,107915.63510548524,336230.3442278481,1.1662553859674095e6,0.0011293
2902,2018-12-11,215.0,32.09,128039.10000000002,115148.21299578059,346666.9076708861,1.5616512048753197e6,0.0011293
2904,2018-12-13,221.0,41.22,164467.80000000002,132251.58852320677,363342.69881012663,1.9436430522393528e6,0.0011293
2922,2018-12-31,280.0,11.06,44129.4,61752.90734177216,268374.2846582279,439367.45252328704,0.0011293
2924,2019-01-02,310.0,15.02,59929.8,77236.93164556962,261470.00835443038,520049.2770715964,0.0011293
2926,2019-01-04,274.0,15.0203,59930.99700000001,64246.765232067526,286037.3961012658,600839.0954197949,0.0011293
2929,2019-01-07,231.0,15.0138,59905.062,41738.48810126583,258168.4258987342,731665.9306600045,0.0011293
2930,2019-01-08,222.0,15.2806,60969.594000000005,70693.16354430381,279629.6344556962,744486.5895716567,0.0011293
2932,2019-01-10,221.0,21.0186,83864.21399999999,94677.05147679326,308091.12518987345,1.0022372336719725e6,0.0011293
2933,2019-01-11,228.0,21.0166,83856.23400000001,97709.20742616036,314432.2772405063,967944.7563789969,0.0011293
2936,2019-01-14,225.0,27.024,107825.76000000001,107261.92472573841,302591.17660759494,1.2574558890004938e6,0.0011293
2944,2019-01-22,239.0,16.4376,65586.024,57204.3841350211,263939.4745316456,757050.0723613829,0.0011293
2945,2019-01-23,246.0,15.7522,62851.278000000006,50078.79729957807,242606.6273670886,713246.757255481,0.0011293
2952,2019-01-30,229.0,11.2949,45066.651,80163.21080168779,293093.93053164554,526516.5247164706,0.0011293
2953,2019-01-31,227.0,25.3471,101134.92900000002,71710.29637130802,282313.7389620253,1.2017559029036271e6,0.0011293
2954,2019-02-01,157.0,28.0162,111784.638,67767.95578059072,297086.3568860759,1.9201826320017811e6,0.0011293
2960,2019-02-07,193.0,31.884,127217.16,120263.89805907173,342346.50060759496,1.7272821264654442e6,0.0011293
2961,2019-02-08,188.0,39.6562,158228.23799999998,158139.6300421941,338657.73929113924,2.179701583663389e6,0.0011293
2965,2019-02-12,157.0,24.7865,98898.13500000001,96603.79037974685,299815.2956202532,1.6719624469403124e6,0.0011293
2966,2019-02-13,182.0,28.257,112745.43000000001,100933.83156118145,303190.8857721519,1.6397338508049985e6,0.0011293
2968,2019-02-15,145.0,32.4013,129281.187,104994.43443037976,317304.37356962025,2.3654773189435676e6,0.0011293
2973,2019-02-20,187.0,26.2978,104928.22200000001,119156.788185654,323496.86848101264,1.4654494446694667e6,0.0011293
2975,2019-02-22,191.0,31.2978,124878.22200000001,123498.72202531644,321806.85397468356,1.70979877334347e6,0.0011293
2978,2019-02-25,155.0,29.8583,119134.617,143122.01215189876,340093.36184810125,1.9985084042214009e6,0.0011293
2981,2019-02-28,158.0,28.087,112067.13,125776.36928270041,332489.5600506329,1.8563346685583584e6,0.0011293
2985,2019-03-04,174.0,27.6415,110289.585,105635.75932489452,296774.66534177214,1.6736782633360752e6,0.0011293
2987,2019-03-06,165.0,28.092,112087.08,121795.00793248946,319299.5327341772,1.7798487735226916e6,0.0011293
2989,2019-03-08,162.0,28.7858,114855.342,135117.37586497894,336519.84146835445,1.8464172340116212e6,0.0011293
2993,2019-03-12,185.0,29.5868,118051.33200000001,149823.10616033757,344088.3285063291,1.6420383305876763e6,0.0011293
2996,2019-03-15,224.0,30.3083,120930.117,143015.0210970464,350989.64556962025,1.3852118722988726e6,0.0011293
3007,2019-03-26,214.0,30.9223,123379.977,120587.67831223631,328276.78635443037,1.505427382869564e6,0.0011293
3008,2019-03-27,213.0,30.9323,123419.87700000002,119742.03544303798,336760.48455696204,1.514012703557579e6,0.0011293
3010,2019-03-29,206.0,30.9605,123532.395,119734.10700421942,340137.5543291139,1.5682848177044436e6,0.0011293
3013,2019-04-01,203.0,40.2547,160616.253,140299.8312236287,348342.33544303797,2.0618713966783718e6,0.0011293
3017,2019-04-05,208.0,30.24,120657.6,142201.6705485232,335811.2287848101,1.4938537769249603e6,0.0011293
3028,2019-04-16,210.0,51.2974,204676.62600000002,151744.14514767932,367962.54151898733,2.5426203731623744e6,0.0011293
3029,2019-04-17,209.0,34.1245,136156.755,142139.93586497894,367060.4374683545,1.6853353488783054e6,0.0011293
3030,2019-04-18,209.0,51.6233,205976.96700000003,145211.7340084388,356516.2406582278,2.578179096552055e6,0.0011293
3031,2019-04-19,211.0,39.8189,158877.41100000002,138074.79021097047,364789.3204556962,1.961497386131304e6,0.0011293
3036,2019-04-24,208.0,40.4369,161343.23100000003,179284.3230379747,402430.01496202534,1.9822310365067252e6,0.0011293
3041,2019-04-29,203.0,56.9261,227135.139,178949.80725738397,401257.66207594937,2.9028942875041235e6,0.0011293
3044,2019-05-02,208.0,30.2127,120548.67300000001,156760.7675949367,371161.34840506327,1.4782543337662576e6,0.0011293
3049,2019-05-07,209.0,41.2373,164536.827,144650.22919831224,367815.5734683544,2.0470226031006505e6,0.0011293
3051,2019-05-09,208.0,30.24,120657.6,129900.35679324897,354280.6478734177,1.5058475578363528e6,0.0011293
3055,2019-05-13,210.0,32.7711,130756.689,131439.93080168773,352396.9325316455,1.6184924771017325e6,0.0011293
3056,2019-05-14,209.0,48.5518,193721.68200000003,167443.2229535865,388346.34237974684,2.399260113961127e6,0.0011293
3059,2019-05-17,208.0,37.4493,149422.70700000002,147065.42413502114,374401.38853164564,1.8599610562164816e6,0.0011293
3066,2019-05-24,207.0,30.2407,120660.39300000001,163015.897721519,327334.300278481,1.4811108624679595e6,0.0011293
3072,2019-05-30,202.0,30.2289,120613.311,138136.5248945148,333540.1117721519,1.5434340495737093e6,0.0011293
3073,2019-05-31,203.0,30.2392,120654.40800000001,126816.13029535866,345350.12703797466,1.5471267585680108e6,0.0011293
3076,2019-06-03,201.0,29.7884,118855.716,123772.66025316458,333920.74374683545,1.541956219845058e6,0.0011293
3077,2019-06-04,167.0,26.9605,107572.395,110753.09434599157,331381.0669873418,1.6963037403735628e6,0.0011293
3078,2019-06-05,207.0,32.3841,129212.559,128573.60776371307,354679.46756962023,1.6254821415467705e6,0.0011293
3079,2019-06-06,205.0,34.4614,137500.98599999998,156441.61586497893,304000.37546835444,1.7230625130846913e6,0.0011293
3083,2019-06-10,208.0,31.9573,127509.62700000001,123957.73569620255,344255.5923037975,1.5999802512294191e6,0.0011293
3087,2019-06-14,209.0,36.0017,143646.783,153743.3113924051,378373.72860759497,1.770123990621388e6,0.0011293
3090,2019-06-17,207.0,32.7529,130684.071,113887.69856540086,338668.3061012658,1.658863779333702e6,0.0011293
3091,2019-06-18,206.0,35.9991,143636.409,124864.49181434601,349370.67951898737,1.8249867916670013e6,0.0011293
3092,2019-06-19,206.0,37.6987,150417.81300000002,128573.02919831223,364833.3034683544,1.9096479269760533e6,0.0011293
3097,2019-06-24,209.0,42.2655,168639.345,105395.72050632912,334619.6274936709,2.1379337244586735e6,0.0011293
3098,2019-06-25,190.0,38.8797,155130.003,108281.28607594938,334048.2539240506,2.160828537765943e6,0.0011293
3099,2019-06-26,207.0,38.8653,155072.547,151220.63257383968,323449.7167594937,1.938407566749415e6,0.0011293
3100,2019-06-27,207.0,38.8786,155125.614,120828.78852320678,339512.4688101266,1.96872707742936e6,0.0011293
3101,2019-06-28,207.0,39.8403,158962.797,118208.11848101267,341188.31551898737,2.020991471923252e6,0.0011293
3104,2019-07-01,205.0,38.8798,155130.40200000003,121536.88371308018,335125.6616202532,1.9877051030224448e6,0.0011293
3105,2019-07-02,207.0,38.8794,155128.80599999998,136512.58801687765,356496.5733164557,1.9534767240647194e6,0.0011293
3106,2019-07-03,176.0,38.8798,155130.40200000003,130958.24607594936,354465.88992405066,2.312886233011658e6,0.0011293
3108,2019-07-05,207.0,38.8804,155132.796,123219.08388185655,341843.0067848101,1.9664895795234765e6,0.0011293
3112,2019-07-09,206.0,38.7304,154534.296,160898.91915611815,381965.6461772152,1.9317165215623858e6,0.0011293
3114,2019-07-11,207.0,38.7963,154797.23700000002,154796.1221940928,365861.0191392405,1.9313549283990022e6,0.0011293
3115,2019-07-12,205.0,38.8827,155141.973,153411.64556962028,361126.35443037975,1.9567785705193658e6,0.0011293
3119,2019-07-16,210.0,38.8805,155133.195,100307.78497890296,327120.2903544304,1.9601233886959464e6,0.0011293
3120,2019-07-17,205.0,40.0855,159941.14500000002,115203.1335021097,333181.25516455696,2.0568098619634965e6,0.0011293
3125,2019-07-22,206.0,41.7629,166633.97100000002,115274.44658227847,337481.7854177215,2.1337079599584746e6,0.0011293
3127,2019-07-24,207.0,41.7614,166627.986,157793.17873417726,377245.14926582284,2.081695636049568e6,0.0011293
3129,2019-07-26,208.0,41.7615,166628.385,150736.6764556962,331439.85954430385,2.0782029757717282e6,0.0011293
3132,2019-07-29,209.0,39.5429,157776.171,103377.31172995782,322497.27893670887,2.0005200821007555e6,0.0011293
3133,2019-07-30,205.0,41.7604,166623.99599999998,132194.4394936709,348055.37850632914,2.127661744923226e6,0.0011293
3134,2019-07-31,208.0,41.6629,166234.97100000002,146166.5964556962,365909.2315443038,2.0775867780980594e6,0.0011293
3135,2019-08-01,207.0,41.7604,166623.99599999998,144372.32675105488,357390.2185822785,2.0947292778060012e6,0.0011293
3136,2019-08-02,208.0,41.7117,166429.683,159479.92168776374,372120.12364556966,2.0671165786223009e6,0.0011293
3139,2019-08-05,209.0,41.7157,166445.643,107880.0,316733.0,2.107364927885276e6,0.0011293
