Date,In1_mean,Out1_mean,In2_mean,Out2_mean,In4_mean,Out4_mean,In3_mean,Out3_mean
2021-10-31,25.716898148148147,26.528935185185187,25.734374999999996,26.71099537037038,36.11111111111109,38.534490740740736,36.25405092592593,38.278124999999996
2021-11-01,25.006828703703707,25.878819444444442,25.18865740740741,26.63541666666667,36.11111111111109,38.234259259259275,36.13715277777778,38.161805555555546
2021-11-02,24.3050925925926,25.483217592592585,24.50509259259259,26.289930555555546,36.11111111111109,38.19178240740738,36.133912037037035,38.606249999999996
2021-11-03,23.984722222222214,25.416435185185183,24.271412037037035,26.253819444444446,36.11111111111109,38.38310185185184,36.12094907407407,38.742013888888884
2021-11-04,26.934837962962963,27.948842592592598,27.04502314814816,28.4738425925926,36.11111111111109,38.42569444444444,36.11898148148148,38.822916666666664
2021-11-05,25.880902777777777,27.46134259259259,26.40300925925926,28.49270833333333,36.11111111111109,38.28321759259259,36.105092592592584,39.94965277777778
2021-11-06,26.39664351851852,28.38761574074074,27.0074074074074,29.243981481481487,36.11111111111109,38.35312499999999,36.12337962962963,38.5079861111111
2021-11-07,22.923379629629633,27.092476851851856,24.33344907407407,28.221064814814827,36.11111111111109,38.5542824074074,36.10798611111111,38.9056712962963
2021-11-08,25.851851851851848,28.01655092592593,26.247337962962963,28.880092592592586,36.11111111111109,38.387615740740735,36.12858796296296,38.6599537037037
2021-11-09,29.253009259259258,30.173958333333335,29.498611111111106,30.939930555555563,36.11111111111109,38.61840277777778,36.12314814814815,38.878125000000004
2021-11-10,27.88541666666666,29.060648148148143,28.476388888888888,30.13657407407408,36.11111111111109,38.372337962962966,36.11226851851851,38.876273148148144
2021-11-11,25.65092592592593,26.83668981481482,26.10358796296296,28.024305555555568,36.11111111111109,38.350810185185175,36.10671296296295,39.407523148148144
2021-11-12,24.394328703703703,25.365162037037035,24.75324074074075,26.399884259259256,36.11111111111109,38.70925925925925,36.106249999999996,38.98125000000001
2021-11-13,24.28518518518518,25.668865740740742,24.58113425925926,25.88495370370371,36.11111111111109,38.649537037037035,35.98935185185186,39.10752314814814
2021-11-14,24.355324074074066,25.985300925925927,24.745833333333337,26.285185185185185,36.11111111111109,38.647916666666696,35.10277777777778,40.25219907407407
2021-11-15,23.688773148148154,25.851967592592597,24.279861111111117,26.200231481481485,36.11111111111109,38.59826388888889,35.84421296296296,38.37222222222221
2021-11-16,23.868055555555543,25.784490740740747,24.212384259259256,26.18078703703703,36.11111111111109,38.882175925925914,34.91076388888889,40.67534722222222
2021-11-17,27.251157407407405,28.16053240740742,27.216898148148147,28.470138888888894,36.11111111111109,38.43344907407406,36.033564814814824,37.7420138888889
2021-11-18,27.193171296296295,28.01226851851852,27.40648148148149,28.864814814814817,36.11111111111109,38.41886574074074,36.15752314814816,38.07060185185184
